city,school,menu_name,menu_date
부산광역시,명호고등학교,낙지새우비빔밥2.5.6.9.13.16.17.18.<br/>들깨무채국11.3.5.6.13.<br/>김치(명호)9.<br/>토마토꿀절임*12.<br/>에그타르트181.2.5.6.13.16.,20220408
부산광역시,명호고등학교,율무밥1<br/>비빔쫄면2.5.6.12.13.<br/>맑은동태탕5.6.9.13.18.<br/>고구마맛탕15.13.<br/>너비아니2.5.6.10.13.15.16.18.<br/>김치(명호)9.<br/>요구르트2.13.,20220411
부산광역시,명호고등학교,현미밥<br/>참치김치찌개(안)2.5.6.9.13.<br/>돼지갈비찜(단호박)5.6.10.13.16.18.<br/>삼색나물*5.6.<br/>명태살두부전1.2.3.4.5.6.8.9.10.13.16.17.18.<br/>깍두기(명호)9.,20220412
부산광역시,명호고등학교,셀프김가루주먹밥5.6.13.18.<br/>미니우동1.2.5.6.7.8.9.13.16.18.<br/>떡볶이*1.2.5.6.12.13.<br/>김말이튀김(1)1.5.6.16.18.<br/>김치(명호)9.<br/>유산균주스2.11.12.13.,20220413
부산광역시,명호고등학교,자장면(1/2)1.2.4.5.6.9.10.12.13.16.18.<br/>해물짬뽕국(1/2)1.2.5.6.8.9.10.12.13.17.18.<br/>후르츠탕수육1.2.5.6.10.11.12.13.<br/>단무지13.<br/>짜먹는요구르트(포)2.<br/>골드파인애플바/생과,20220414
부산광역시,명호고등학교,추억의도시락(소시지)  (1.2.5.6.9.10.13.15.16.18.)<br/>감자옹심이국*  (1.5.6.9.13.16.17.18.)<br/>초코칩트위스터  (1.2.4.5.6.8.10.12.13.14.)<br/>깍두기(명호)  (9.),20220415
부산광역시,명호고등학교,검정쌀밥1  <br/>시금치된장국1  (5.6.9.13.)<br/>안동찜닭*납작당면  (2.3.5.6.7.8.10.13.15.16.18.)<br/>새송이호박볶음*  (5.6.9.13.)<br/>백짬뽕매운군만두18  (1.2.5.6.9.10.13.16.17.18.)<br/>김치(명호)  (9.),20220418
부산광역시,명호고등학교,보리밥(할맥)  <br/>등뼈감자탕*  (5.6.9.10.13.18.)<br/>메추리알장조림*  (1.5.6.10.13.)<br/>생선까스  (1.2.5.6.10.13.15.18.)<br/>김치(명호)  (9.)<br/>수제타르소스(a)*  (1.2.5.13.)<br/>딸기와플  (1.2.3.4.5.6.13.),20220419
부산광역시,명호고등학교,단호박카레라이스  (2.5.6.10.12.13.16.18.)<br/>백미밥  <br/>크로크무슈  (1.2.3.4.5.6.10.13.)<br/>얼갈이겉절이  (9.13.18.)<br/>김치(명호)  (9.)<br/>과일화채(안연)  (2.5.11.12.13.),20220420
부산광역시,명호고등학교,차조밥  <br/>뱅글뱅글소시지  (1.2.5.6.9.10.15.16.18.)<br/>연두부달걀탕18  (1.5.6.9.13.18.)<br/>오이무침*  (8.13.16.18.)<br/>오징어김치전(안)  (1.2.5.6.9.13.17.18.)<br/>김치(명호)  (9.)<br/>머스타드  (1.2.4.5.6.13.),20220421
