시도명,학교명,급식날짜,메뉴이름,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),,,,,,,
부산광역시,명호고등학교,2022-04-12,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-04-13,셀프김가루주먹밥,350,506.80,108.05,0.00,8.37,14.14,30.32,95.48,88.75,815.92,22.40,1.88,1.78,0.00,,,,,,,
부산광역시,명호고등학교,2022-04-14,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-04-14,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-04-15,추억의도시락소시지,400,687.74,100.33,0.00,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309.00,,,,,,,
부산광역시,명호고등학교,2022-04-18,검정쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-04-19,보리밥할맥,200,316.10,70.57,0.00,0.14,5.55,6.70,68.80,4.50,100.60,0.00,1.26,1.41,0.00,,,,,,,
부산광역시,명호고등학교,2022-04-20,단호박카레라이스,500,653.24,92.58,0.00,10.67,13.40,27.90,218.24,1108.55,525.62,70.18,1.98,2.66,13.75,,,,,,,
부산광역시,명호고등학교,2022-04-21,차조밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-04-22,산채비빔밥연,400,495.89,89.66,0.52,10.99,10.66,63.10,160.29,1060.78,509.95,38.81,3.53,2.05,0.00,,,,,,,
부산광역시,명호고등학교,2022-04-25,통밀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-02,팥찰밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-03,보리밥할맥,200,316.10,70.57,0.00,0.14,5.55,6.70,68.80,4.50,100.60,0.00,1.26,1.41,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-04,김치볶음밥,500,656.98,79.29,4.00,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76.00,,,,,,,
부산광역시,명호고등학교,2022-05-04,김치볶음밥,500,656.98,79.29,4.00,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76.00,,,,,,,
부산광역시,명호고등학교,2022-05-04,김치볶음밥,500,656.98,79.29,4.00,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76.00,,,,,,,
부산광역시,명호고등학교,2022-05-04,김치볶음밥,500,656.98,79.29,4.00,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76.00,,,,,,,
부산광역시,명호고등학교,2022-05-04,김치볶음밥,500,656.98,79.29,4.00,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76.00,,,,,,,
부산광역시,명호고등학교,2022-05-09,미소팽이장국,150,37.97,1.70,0.00,1.75,4.14,98.58,88.75,511.98,156.73,0.00,1.38,0.54,15.68,,,,,,,
부산광역시,명호고등학교,2022-05-10,검정쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-11,잔멸치김가루주먹밥,200,348.87,63.64,0.00,5.42,10.28,41.45,159.43,951.32,355.38,3.24,3.40,1.91,69.12,,,,,,,
부산광역시,명호고등학교,2022-05-12,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-13,소보루덮밥채식,400,687.74,100.33,0.00,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309.00,,,,,,,
부산광역시,명호고등학교,2022-05-16,혼합곡잡곡밥추천,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-17,귀리밥,200,316.10,70.57,0.00,0.14,5.55,6.70,68.80,4.50,100.60,0.00,1.26,1.41,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-18,잡채밥자장,650,851.54,125.70,4.00,28.61,21.14,84.11,287.78,2251.34,817.08,32.55,4.83,5.90,36.00,,,,,,,
부산광역시,명호고등학교,2022-05-19,클로렐라쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-20,참치생채소비빔밥,250,401.22,47.55,0.00,14.59,19.83,57.81,279.82,925.73,380.33,15.63,4.52,1.96,143.67,,,,,,,
부산광역시,명호고등학교,2022-05-23,검정쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-24,렌틸콩밥,200,322.90,65.85,0.00,1.67,8.43,24.70,126.90,4.10,258.40,22.50,1.74,1.61,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-25,스팸마요덮밥,500,796.94,95.80,5.40,27.52,37.80,46.04,573.70,1375.69,624.95,0.00,6.28,7.17,108.00,,,,,,,
부산광역시,명호고등학교,2022-05-26,셀프김가루주먹밥,350,506.80,108.05,0.00,8.37,14.14,30.32,95.48,88.75,815.92,22.40,1.88,1.78,0.00,,,,,,,
부산광역시,명호고등학교,2022-05-27,닭갈비볶음밥,400,659.23,85.19,0.00,23.71,22.68,77.50,305.55,951.03,555.36,24.20,4.13,3.08,362.40,,,,,,,
부산광역시,명호고등학교,2022-05-27,닭갈비볶음밥,400,659.23,85.19,0.00,23.71,22.68,77.50,305.55,951.03,555.36,24.20,4.13,3.08,362.40,,,,,,,
부산광역시,명호고등학교,2022-05-30,김치말이국수,600,310.38,60.76,3.00,2.47,10.42,105.79,191.00,2335.45,453.96,0.00,2.43,1.43,22.23,,,,,,,
부산광역시,명호고등학교,2022-06-02,백미밥,210,334.80,73.71,0.00,0.45,5.76,3.60,126.00,59.40,146.70,0.00,0.36,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-03,낙지새우비빔밥,400,683.62,113.43,5.09,16.84,19.26,119.37,249.11,1155.81,640.97,29.67,4.52,3.57,119.13,,,,,,,
부산광역시,명호고등학교,2022-06-07,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-08,열무비빔밥약고추장,400,445.66,90.03,1.72,3.16,12.99,91.06,167.96,718.39,708.68,1.29,3.91,2.65,12.80,,,,,,,
부산광역시,명호고등학교,2022-06-09,돈육카레라이스,500,653.24,92.58,0.00,10.67,13.40,27.90,218.24,1108.55,525.62,70.18,1.98,2.66,13.75,,,,,,,
부산광역시,명호고등학교,2022-06-10,콩나물밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-10,콩나물밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-10,콩나물밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-13,팥찰밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-14,기장밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-15,자장면주식,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-06-16,검정쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-17,혼합곡잡곡밥추천,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-20,목살볶음밥안,400,687.74,100.33,0.00,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309.00,,,,,,,
부산광역시,명호고등학교,2022-06-21,귀리밥,200,316.10,70.57,0.00,0.14,5.55,6.70,68.80,4.50,100.60,0.00,1.26,1.41,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-22,크림스파게티안,400,825.06,85.88,0.00,45.40,19.44,233.33,333.99,1025.21,916.21,0.00,3.26,2.55,140.15,,,,,,,
부산광역시,명호고등학교,2022-06-23,클로렐라쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-06-24,보리밥할맥,200,316.10,70.57,0.00,0.14,5.55,6.70,68.80,4.50,100.60,0.00,1.26,1.41,0.00,,,,,,,
부산광역시,명호고등학교,2022-07-04,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-07-05,귀리밥,200,316.10,70.57,0.00,0.14,5.55,6.70,68.80,4.50,100.60,0.00,1.26,1.41,0.00,,,,,,,
부산광역시,명호고등학교,2022-07-06,떡갈비나물비빔밥,400,634.52,91.62,0.00,17.91,24.12,81.82,341.30,1124.63,710.66,17.68,4.15,2.82,127.20,,,,,,,
부산광역시,명호고등학교,2022-07-07,검정쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-07-08,참치마요덮밥,250,401.22,47.55,0.00,14.59,19.83,57.81,279.82,925.73,380.33,15.63,4.52,1.96,143.67,,,,,,,
부산광역시,명호고등학교,2022-07-11,팥찰밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-07-12,기장밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-07-13,잔치국수,700,564.23,104.67,0.44,6.23,20.26,250.38,277.30,1792.23,904.12,3.55,3.77,1.90,167.41,,,,,,,
부산광역시,명호고등학교,2022-07-14,혼합곡잡곡밥추천,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-16,백미밥,210,334.80,73.71,0.00,0.45,5.76,3.60,126.00,59.40,146.70,0.00,0.36,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-17,토마토스파게티,500,642.18,102.07,0.00,17.37,20.22,97.18,220.69,1404.81,1651.30,0.00,5.09,3.39,12.65,,,,,,,
부산광역시,명호고등학교,2022-08-18,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-19,백미밥,210,334.80,73.71,0.00,0.45,5.76,3.60,126.00,59.40,146.70,0.00,0.36,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-22,차수수밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-23,팥찰밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-24,추억의도시락소시지,400,687.74,100.33,0.00,19.29,24.46,58.42,414.66,1441.42,578.88,14.98,3.29,3.45,309.00,,,,,,,
부산광역시,명호고등학교,2022-08-25,옥수수알밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-26,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-29,차조밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-30,클로렐라쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-08-31,곤드레콩나물밥양념장,350,506.80,108.05,0.00,8.37,14.14,30.32,95.48,88.75,815.92,22.40,1.88,1.78,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-01,검정쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-02,백미밥,210,334.80,73.71,0.00,0.45,5.76,3.60,126.00,59.40,146.70,0.00,0.36,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-05,백미밥,210,334.80,73.71,0.00,0.45,5.76,3.60,126.00,59.40,146.70,0.00,0.36,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-07,팥찰밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-08,잔치국수,700,564.23,104.67,0.44,6.23,20.26,250.38,277.30,1792.23,904.12,3.55,3.77,1.90,167.41,,,,,,,
부산광역시,명호고등학교,2022-09-13,현미밥,230,351.35,77.88,0.00,1.10,6.66,6.01,178.28,42.08,209.33,0.00,1.05,1.65,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-14,혼합곡잡곡밥추천,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-15,기장밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-16,콩나물밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-16,콩나물밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-16,콩나물밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-20,찰보리밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-21,차수수밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-09-22,로제스파게티,500,642.18,102.07,0.00,17.37,20.22,97.18,220.69,1404.81,1651.30,0.00,5.09,3.39,12.65,,,,,,,
